id,addr_gba,scene,context,max_bytes,max_chars,en,mt,final,status,notes
00005562,0x8005562,main-text,,4,1,JmJ,,,locked, [ptr:0x6a9581;0x6e99da] [junk]J1全无元音词
00010521,0x8010521,main-text,,9,4,W[fdf7].[/n][fdf7]G,,,locked, [ptr:0x1214fd8] [junk]J3fd码堆
00111E7C,0x8111E7C,main-text,,10,4," :,[/l]ss :é",,,untranslated, [ptr:0x9e519c]
001FB901,0x81FB901,main-text,,9,4,[m][BL]:[u][fd57]:=,[m][BL]:[u][fd57]:=,,machine-translated, [ptr:0x1fba6c]
002945C2,0x82945C2,main-text,,74,36,Where has our Wally gone?[/p]We have to leave for Verdanturf Town[/n]very soon[...],我们的小光去哪了?[/p]我们得赶快出发去幕水镇[/n][...],,machine-translated, [ptr:0x294199]
0029460C,0x829460C,main-text,,154,76,Hiya! Are you maybe[...][/n]A rookie Trainer?[/p]Do you know what Pokémon Trainers[/n]do when they reach a new town?[/p]They first check what kind of Gym[/n]is in the town.,你好呀! 你难道是[...][/n]新手训练家?[/p]你知道宝可梦训练家[/n]到了一个新城市会先做什么吗?[/p]他们会先看看这个城市[/n]有什么道馆.,,machine-translated, [ptr:0x2942a8;0x2945bb]
002946A6,0x82946A6,main-text,,35,17,See? This is Petalburg City's Gym.,看! 这就是古华顿市的道馆.,,machine-translated, [ptr:0x2942dd]
002946C9,0x82946C9,main-text,,71,35,This is the Gym's sign. Look for it[/n]whenever you're looking for a Gym.,这是道馆的招牌.[/n]找道馆的时候看招牌就行了.,,machine-translated, [ptr:0x2942f6]
00294710,0x8294710,main-text,,171,85,My face is reflected in the water.[/p]It's a shining grin full of hope[...][/p]Or it could be a look of somber silence[/n]struggling with fear[...][/p]What do you see reflected in your face?,我的脸倒映在水中.[/p]那是一张充满希望的笑脸[...][/p]也可能是一副沉默的表情[/n]在恐惧中挣扎[...][/p]你的脸上倒映着什么?,,machine-translated, [ptr:0x294184]
002947BB,0x82947BB,main-text,,122,60,Let's say you have six Pokémon.[/n]If you catch another one[...][/p]It is automatically sent to a Storage[/n]Box over a PC connection.,假设你已经有六只宝可梦了.如果你[/n]又抓到一只[...][/p]它会通过电脑连接自动[/n]传送到电脑箱子里.,,machine-translated, [ptr:0x294a42]
00294835,0x8294835,main-text,,71,35,Petalburg City Pokémon Gym[/n]Leader: Norman[/l]“A man in pursuit of power!”,古华顿市宝可梦道馆[/n]馆主: 诺曼[/l]“追求力量的男人!”,,machine-translated, [ptr:0x294212]
